owner,study,year,plot_id,rep_id,trt_id
rosen lab,esn-nni,2020,101,1,15
rosen lab,esn-nni,2020,102,1,2
rosen lab,esn-nni,2020,103,1,3
rosen lab,esn-nni,2020,104,1,6
rosen lab,esn-nni,2020,105,1,1
rosen lab,esn-nni,2020,106,1,8
rosen lab,esn-nni,2020,107,1,7
rosen lab,esn-nni,2020,108,1,16
rosen lab,esn-nni,2020,109,1,17
rosen lab,esn-nni,2020,110,1,10
rosen lab,esn-nni,2020,111,1,5
rosen lab,esn-nni,2020,112,1,14
rosen lab,esn-nni,2020,113,1,11
rosen lab,esn-nni,2020,114,1,12
rosen lab,esn-nni,2020,115,1,9
rosen lab,esn-nni,2020,116,1,13
rosen lab,esn-nni,2020,201,2,3
rosen lab,esn-nni,2020,202,2,7
rosen lab,esn-nni,2020,203,2,1
rosen lab,esn-nni,2020,204,2,16
rosen lab,esn-nni,2020,205,2,8
rosen lab,esn-nni,2020,206,2,2
rosen lab,esn-nni,2020,207,2,13
rosen lab,esn-nni,2020,208,2,5
rosen lab,esn-nni,2020,209,2,17
rosen lab,esn-nni,2020,210,2,9
rosen lab,esn-nni,2020,211,2,10
rosen lab,esn-nni,2020,212,2,12
rosen lab,esn-nni,2020,213,2,15
rosen lab,esn-nni,2020,214,2,14
rosen lab,esn-nni,2020,215,2,6
rosen lab,esn-nni,2020,216,2,11
rosen lab,esn-nni,2020,301,3,5
rosen lab,esn-nni,2020,302,3,10
rosen lab,esn-nni,2020,303,3,4
rosen lab,esn-nni,2020,304,3,2
rosen lab,esn-nni,2020,305,3,15
rosen lab,esn-nni,2020,306,3,14
rosen lab,esn-nni,2020,307,3,12
rosen lab,esn-nni,2020,308,3,9
rosen lab,esn-nni,2020,309,3,1
rosen lab,esn-nni,2020,310,3,13
rosen lab,esn-nni,2020,311,3,6
rosen lab,esn-nni,2020,312,3,16
rosen lab,esn-nni,2020,313,3,8
rosen lab,esn-nni,2020,314,3,17
rosen lab,esn-nni,2020,315,3,7
rosen lab,esn-nni,2020,316,3,11
rosen lab,esn-nni,2020,401,4,12
rosen lab,esn-nni,2020,402,4,14
rosen lab,esn-nni,2020,403,4,2
rosen lab,esn-nni,2020,404,4,5
rosen lab,esn-nni,2020,405,4,13
rosen lab,esn-nni,2020,406,4,15
rosen lab,esn-nni,2020,407,4,1
rosen lab,esn-nni,2020,408,4,10
rosen lab,esn-nni,2020,409,4,6
rosen lab,esn-nni,2020,410,4,7
rosen lab,esn-nni,2020,411,4,16
rosen lab,esn-nni,2020,412,4,11
rosen lab,esn-nni,2020,413,4,17
rosen lab,esn-nni,2020,414,4,8
rosen lab,esn-nni,2020,415,4,3
rosen lab,esn-nni,2020,416,4,9
rosen lab,sanjay,2019,101,1,3
rosen lab,sanjay,2019,102,1,1
rosen lab,sanjay,2019,103,1,4
rosen lab,sanjay,2019,104,1,5
rosen lab,sanjay,2019,105,1,4
rosen lab,sanjay,2019,106,1,2
rosen lab,sanjay,2019,107,1,14
rosen lab,sanjay,2019,108,1,15
rosen lab,sanjay,2019,109,1,11
rosen lab,sanjay,2019,110,1,12
rosen lab,sanjay,2019,111,1,14
rosen lab,sanjay,2019,112,1,13
rosen lab,sanjay,2019,113,1,9
rosen lab,sanjay,2019,114,1,7
rosen lab,sanjay,2019,115,1,9
rosen lab,sanjay,2019,116,1,10
rosen lab,sanjay,2019,117,1,8
rosen lab,sanjay,2019,118,1,6
rosen lab,sanjay,2019,201,2,4
rosen lab,sanjay,2019,202,2,1
rosen lab,sanjay,2019,203,2,5
rosen lab,sanjay,2019,204,2,2
rosen lab,sanjay,2019,205,2,3
rosen lab,sanjay,2019,206,2,4
rosen lab,sanjay,2019,207,2,7
rosen lab,sanjay,2019,208,2,6
rosen lab,sanjay,2019,209,2,8
rosen lab,sanjay,2019,210,2,9
rosen lab,sanjay,2019,211,2,10
rosen lab,sanjay,2019,212,2,9
rosen lab,sanjay,2019,213,2,14
rosen lab,sanjay,2019,214,2,15
rosen lab,sanjay,2019,215,2,11
rosen lab,sanjay,2019,216,2,14
rosen lab,sanjay,2019,217,2,13
rosen lab,sanjay,2019,218,2,12
rosen lab,sanjay,2019,301,3,13
rosen lab,sanjay,2019,302,3,12
rosen lab,sanjay,2019,303,3,11
rosen lab,sanjay,2019,304,3,14
rosen lab,sanjay,2019,305,3,14
rosen lab,sanjay,2019,306,3,15
rosen lab,sanjay,2019,307,3,4
rosen lab,sanjay,2019,308,3,5
rosen lab,sanjay,2019,309,3,3
rosen lab,sanjay,2019,310,3,4
rosen lab,sanjay,2019,311,3,2
rosen lab,sanjay,2019,312,3,1
rosen lab,sanjay,2019,313,3,9
rosen lab,sanjay,2019,314,3,6
rosen lab,sanjay,2019,315,3,9
rosen lab,sanjay,2019,316,3,10
rosen lab,sanjay,2019,317,3,8
rosen lab,sanjay,2019,318,3,7
rosen lab,nni,2019,101,1,6
rosen lab,nni,2019,102,1,2
rosen lab,nni,2019,103,1,5
rosen lab,nni,2019,104,1,4
rosen lab,nni,2019,105,1,3
rosen lab,nni,2019,106,1,1
rosen lab,nni,2019,107,1,7
rosen lab,nni,2019,108,1,8
rosen lab,nni,2019,201,2,1
rosen lab,nni,2019,202,2,3
rosen lab,nni,2019,203,2,4
rosen lab,nni,2019,204,2,2
rosen lab,nni,2019,205,2,6
rosen lab,nni,2019,206,2,7
rosen lab,nni,2019,207,2,5
rosen lab,nni,2019,208,2,8
rosen lab,nni,2019,301,3,5
rosen lab,nni,2019,302,3,6
rosen lab,nni,2019,303,3,3
rosen lab,nni,2019,304,3,7
rosen lab,nni,2019,305,3,8
rosen lab,nni,2019,306,3,2
rosen lab,nni,2019,307,3,4
rosen lab,nni,2019,308,3,1
rosen lab,nni,2019,401,4,7
rosen lab,nni,2019,402,4,3
rosen lab,nni,2019,403,4,8
rosen lab,nni,2019,404,4,5
rosen lab,nni,2019,405,4,6
rosen lab,nni,2019,406,4,1
rosen lab,nni,2019,407,4,2
rosen lab,nni,2019,408,4,4
rosen lab,sanjay,2018,101,1,17
rosen lab,sanjay,2018,102,1,13
rosen lab,sanjay,2018,103,1,18
rosen lab,sanjay,2018,104,1,15
rosen lab,sanjay,2018,105,1,16
rosen lab,sanjay,2018,106,1,14
rosen lab,sanjay,2018,107,1,5
rosen lab,sanjay,2018,108,1,1
rosen lab,sanjay,2018,109,1,3
rosen lab,sanjay,2018,110,1,2
rosen lab,sanjay,2018,111,1,4
rosen lab,sanjay,2018,112,1,6
rosen lab,sanjay,2018,113,1,8
rosen lab,sanjay,2018,114,1,9
rosen lab,sanjay,2018,115,1,7
rosen lab,sanjay,2018,116,1,12
rosen lab,sanjay,2018,117,1,10
rosen lab,sanjay,2018,118,1,11
rosen lab,sanjay,2018,201,2,4
rosen lab,sanjay,2018,202,2,3
rosen lab,sanjay,2018,203,2,6
rosen lab,sanjay,2018,204,2,2
rosen lab,sanjay,2018,205,2,5
rosen lab,sanjay,2018,206,2,1
rosen lab,sanjay,2018,207,2,13
rosen lab,sanjay,2018,208,2,15
rosen lab,sanjay,2018,209,2,18
rosen lab,sanjay,2018,210,2,17
rosen lab,sanjay,2018,211,2,14
rosen lab,sanjay,2018,212,2,16
rosen lab,sanjay,2018,213,2,11
rosen lab,sanjay,2018,214,2,10
rosen lab,sanjay,2018,215,2,12
rosen lab,sanjay,2018,216,2,7
rosen lab,sanjay,2018,217,2,9
rosen lab,sanjay,2018,218,2,8
rosen lab,sanjay,2018,301,3,1
rosen lab,sanjay,2018,302,3,5
rosen lab,sanjay,2018,303,3,3
rosen lab,sanjay,2018,304,3,4
rosen lab,sanjay,2018,305,3,2
rosen lab,sanjay,2018,306,3,6
rosen lab,sanjay,2018,307,3,10
rosen lab,sanjay,2018,308,3,12
rosen lab,sanjay,2018,309,3,9
rosen lab,sanjay,2018,310,3,7
rosen lab,sanjay,2018,311,3,11
rosen lab,sanjay,2018,312,3,8
rosen lab,sanjay,2018,313,3,18
rosen lab,sanjay,2018,314,3,17
rosen lab,sanjay,2018,315,3,13
rosen lab,sanjay,2018,316,3,15
rosen lab,sanjay,2018,317,3,14
rosen lab,sanjay,2018,318,3,16
rosen lab,chloro,2016,101,1,2
rosen lab,chloro,2016,102,1,7
rosen lab,chloro,2016,103,1,8
rosen lab,chloro,2016,104,1,5
rosen lab,chloro,2016,105,1,4
rosen lab,chloro,2016,106,1,3
rosen lab,chloro,2016,107,1,6
rosen lab,chloro,2016,108,1,1
rosen lab,chloro,2016,201,2,5
rosen lab,chloro,2016,202,2,2
rosen lab,chloro,2016,203,2,3
rosen lab,chloro,2016,204,2,6
rosen lab,chloro,2016,205,2,7
rosen lab,chloro,2016,206,2,4
rosen lab,chloro,2016,207,2,1
rosen lab,chloro,2016,208,2,8
rosen lab,chloro,2016,301,3,5
rosen lab,chloro,2016,302,3,4
rosen lab,chloro,2016,303,3,1
rosen lab,chloro,2016,304,3,6
rosen lab,chloro,2016,305,3,3
rosen lab,chloro,2016,306,3,8
rosen lab,chloro,2016,307,3,7
rosen lab,chloro,2016,308,3,2
rosen lab,chloro,2016,401,4,8
rosen lab,chloro,2016,402,4,5
rosen lab,chloro,2016,403,4,2
rosen lab,chloro,2016,404,4,1
rosen lab,chloro,2016,405,4,6
rosen lab,chloro,2016,406,4,3
rosen lab,chloro,2016,407,4,4
rosen lab,chloro,2016,408,4,7
rosen lab,vxn,2015,101,1,5
rosen lab,vxn,2015,102,1,7
rosen lab,vxn,2015,103,1,6
rosen lab,vxn,2015,104,1,4
rosen lab,vxn,2015,105,1,11
rosen lab,vxn,2015,106,1,2
rosen lab,vxn,2015,107,1,9
rosen lab,vxn,2015,108,1,16
rosen lab,vxn,2015,109,1,3
rosen lab,vxn,2015,110,1,15
rosen lab,vxn,2015,111,1,13
rosen lab,vxn,2015,112,1,12
rosen lab,vxn,2015,113,1,10
rosen lab,vxn,2015,114,1,8
rosen lab,vxn,2015,115,1,1
rosen lab,vxn,2015,116,1,14
rosen lab,vxn,2015,201,2,7
rosen lab,vxn,2015,202,2,1
rosen lab,vxn,2015,203,2,12
rosen lab,vxn,2015,204,2,2
rosen lab,vxn,2015,205,2,6
rosen lab,vxn,2015,206,2,14
rosen lab,vxn,2015,207,2,4
rosen lab,vxn,2015,208,2,5
rosen lab,vxn,2015,209,2,13
rosen lab,vxn,2015,210,2,8
rosen lab,vxn,2015,211,2,11
rosen lab,vxn,2015,212,2,3
rosen lab,vxn,2015,213,2,9
rosen lab,vxn,2015,214,2,16
rosen lab,vxn,2015,215,2,15
rosen lab,vxn,2015,216,2,10
rosen lab,vxn,2015,301,3,1
rosen lab,vxn,2015,302,3,14
rosen lab,vxn,2015,303,3,4
rosen lab,vxn,2015,304,3,11
rosen lab,vxn,2015,305,3,10
rosen lab,vxn,2015,306,3,13
rosen lab,vxn,2015,307,3,15
rosen lab,vxn,2015,308,3,3
rosen lab,vxn,2015,309,3,2
rosen lab,vxn,2015,310,3,16
rosen lab,vxn,2015,311,3,12
rosen lab,vxn,2015,312,3,8
rosen lab,vxn,2015,313,3,9
rosen lab,vxn,2015,314,3,5
rosen lab,vxn,2015,315,3,6
rosen lab,vxn,2015,316,3,7
rosen lab,vxn,2015,401,4,4
rosen lab,vxn,2015,402,4,2
rosen lab,vxn,2015,403,4,8
rosen lab,vxn,2015,404,4,9
rosen lab,vxn,2015,405,4,3
rosen lab,vxn,2015,406,4,1
rosen lab,vxn,2015,407,4,6
rosen lab,vxn,2015,408,4,11
rosen lab,vxn,2015,409,4,12
rosen lab,vxn,2015,410,4,13
rosen lab,vxn,2015,411,4,14
rosen lab,vxn,2015,412,4,7
rosen lab,vxn,2015,413,4,15
rosen lab,vxn,2015,414,4,10
rosen lab,vxn,2015,415,4,16
rosen lab,vxn,2015,416,4,5
rosen lab,vxn,2014,101,1,14
rosen lab,vxn,2014,102,1,10
rosen lab,vxn,2014,103,1,5
rosen lab,vxn,2014,104,1,3
rosen lab,vxn,2014,105,1,11
rosen lab,vxn,2014,106,1,6
rosen lab,vxn,2014,107,1,7
rosen lab,vxn,2014,108,1,8
rosen lab,vxn,2014,109,1,2
rosen lab,vxn,2014,110,1,3
rosen lab,vxn,2014,111,1,1
rosen lab,vxn,2014,112,1,4
rosen lab,vxn,2014,113,1,13
rosen lab,vxn,2014,114,1,15
rosen lab,vxn,2014,115,1,9
rosen lab,vxn,2014,116,1,12
rosen lab,vxn,2014,201,2,4
rosen lab,vxn,2014,202,2,13
rosen lab,vxn,2014,203,2,6
rosen lab,vxn,2014,204,2,9
rosen lab,vxn,2014,205,2,2
rosen lab,vxn,2014,206,2,15
rosen lab,vxn,2014,207,2,1
rosen lab,vxn,2014,208,2,10
rosen lab,vxn,2014,209,2,12
rosen lab,vxn,2014,210,2,3
rosen lab,vxn,2014,211,2,8
rosen lab,vxn,2014,212,2,7
rosen lab,vxn,2014,213,2,3
rosen lab,vxn,2014,214,2,5
rosen lab,vxn,2014,215,2,14
rosen lab,vxn,2014,216,2,11
rosen lab,vxn,2014,301,3,9
rosen lab,vxn,2014,302,3,2
rosen lab,vxn,2014,303,3,7
rosen lab,vxn,2014,304,3,13
rosen lab,vxn,2014,305,3,1
rosen lab,vxn,2014,306,3,10
rosen lab,vxn,2014,307,3,5
rosen lab,vxn,2014,308,3,3
rosen lab,vxn,2014,309,3,12
rosen lab,vxn,2014,310,3,4
rosen lab,vxn,2014,311,3,6
rosen lab,vxn,2014,312,3,15
rosen lab,vxn,2014,313,3,3
rosen lab,vxn,2014,314,3,14
rosen lab,vxn,2014,315,3,11
rosen lab,vxn,2014,316,3,8
rosen lab,vxn,2014,401,4,9
rosen lab,vxn,2014,402,4,6
rosen lab,vxn,2014,403,4,10
rosen lab,vxn,2014,404,4,3
rosen lab,vxn,2014,405,4,5
rosen lab,vxn,2014,406,4,2
rosen lab,vxn,2014,407,4,14
rosen lab,vxn,2014,408,4,12
rosen lab,vxn,2014,409,4,1
rosen lab,vxn,2014,410,4,13
rosen lab,vxn,2014,411,4,15
rosen lab,vxn,2014,412,4,3
rosen lab,vxn,2014,413,4,4
rosen lab,vxn,2014,414,4,8
rosen lab,vxn,2014,415,4,7
rosen lab,vxn,2014,416,4,11
rosen lab,blcmr,1992,101,1,1
rosen lab,blcmr,1992,102,1,3
rosen lab,blcmr,1992,103,1,4
rosen lab,blcmr,1992,104,1,5
rosen lab,blcmr,1992,105,1,6
rosen lab,blcmr,1992,106,1,7
rosen lab,blcmr,1992,107,1,8
rosen lab,blcmr,1992,108,1,9
rosen lab,blcmr,1992,109,1,10
rosen lab,blcmr,1992,110,1,2
rosen lab,blcmr,1992,201,2,1
rosen lab,blcmr,1992,202,2,3
rosen lab,blcmr,1992,203,2,4
rosen lab,blcmr,1992,204,2,5
rosen lab,blcmr,1992,205,2,6
rosen lab,blcmr,1992,206,2,7
rosen lab,blcmr,1992,207,2,8
rosen lab,blcmr,1992,208,2,9
rosen lab,blcmr,1992,209,2,10
rosen lab,blcmr,1992,210,2,2
rosen lab,blcmr,1992,301,3,1
rosen lab,blcmr,1992,302,3,3
rosen lab,blcmr,1992,303,3,4
rosen lab,blcmr,1992,304,3,5
rosen lab,blcmr,1992,305,3,6
rosen lab,blcmr,1992,306,3,7
rosen lab,blcmr,1992,307,3,8
rosen lab,blcmr,1992,308,3,9
rosen lab,blcmr,1992,309,3,10
rosen lab,blcmr,1992,310,3,2
rosen lab,blcmr,1992,401,4,1
rosen lab,blcmr,1992,402,4,3
rosen lab,blcmr,1992,403,4,4
rosen lab,blcmr,1992,404,4,5
rosen lab,blcmr,1992,405,4,6
rosen lab,blcmr,1992,406,4,7
rosen lab,blcmr,1992,407,4,8
rosen lab,blcmr,1992,408,4,9
rosen lab,blcmr,1992,409,4,10
rosen lab,blcmr,1992,410,4,2
rosen lab,blcmr,1991,101,1,1
rosen lab,blcmr,1991,102,1,3
rosen lab,blcmr,1991,103,1,4
rosen lab,blcmr,1991,104,1,5
rosen lab,blcmr,1991,105,1,6
rosen lab,blcmr,1991,106,1,7
rosen lab,blcmr,1991,107,1,8
rosen lab,blcmr,1991,108,1,9
rosen lab,blcmr,1991,109,1,10
rosen lab,blcmr,1991,110,1,2
rosen lab,blcmr,1991,201,2,1
rosen lab,blcmr,1991,202,2,3
rosen lab,blcmr,1991,203,2,4
rosen lab,blcmr,1991,204,2,5
rosen lab,blcmr,1991,205,2,6
rosen lab,blcmr,1991,206,2,7
rosen lab,blcmr,1991,207,2,8
rosen lab,blcmr,1991,208,2,9
rosen lab,blcmr,1991,209,2,10
rosen lab,blcmr,1991,210,2,2
rosen lab,blcmr,1991,301,3,1
rosen lab,blcmr,1991,302,3,3
rosen lab,blcmr,1991,303,3,4
rosen lab,blcmr,1991,304,3,5
rosen lab,blcmr,1991,305,3,6
rosen lab,blcmr,1991,306,3,7
rosen lab,blcmr,1991,307,3,8
rosen lab,blcmr,1991,308,3,9
rosen lab,blcmr,1991,309,3,10
rosen lab,blcmr,1991,310,3,2
rosen lab,blcmr,1991,401,4,1
rosen lab,blcmr,1991,402,4,3
rosen lab,blcmr,1991,403,4,4
rosen lab,blcmr,1991,404,4,5
rosen lab,blcmr,1991,405,4,6
rosen lab,blcmr,1991,406,4,7
rosen lab,blcmr,1991,407,4,8
rosen lab,blcmr,1991,408,4,9
rosen lab,blcmr,1991,409,4,10
rosen lab,blcmr,1991,410,4,2
